id,ra_hours,dec_degrees,magnitude,bv
468,0.093404,-51.260491,7.36,1.444
471,0.094368,55.709898,6.99,1.187
475,0.094989,13.396266,5.55,0.901
491,0.098543,18.235003,7.45,0.596
495,0.099091,24.569005,6.9,1.564
501,0.100149,28.276949,6.62,1.531
504,0.100942,63.679656,7.36,0.126
507,0.101182,40.41853,6.65,0.912
517,0.104356,58.436733,5.98,0.687
521,0.105277,-49.075191,5.7,0.519
524,0.105609,40.898745,6.93,1.086
528,0.106936,-18.038252,7.31,0.402
530,0.10737,64.196168,5.57,-0.023
539,0.109872,28.553404,6.68,0.986
543,0.110209,29.021502,6.07,0.752
559,0.113911,-23.10754,6.19,0.386
566,0.114803,-38.877668,6.91,1.123
580,0.117816,6.875548,7.44,0.203
601,0.121741,-17.38699,6.2,0.133
604,0.122792,-56.836907,7.48,1.532
605,0.122925,-25.356649,7.06,0.463
606,0.122932,26.450601,7.33,1.011
611,0.124472,-56.011483,7.48,0.466
618,0.126439,31.669001,6.87,1.124
619,0.126828,-62.315095,7.5,1.703
620,0.126886,-86.038759,7.39,-0.018
624,0.127138,40.078498,7.39,1.008
625,0.127202,40.147954,6.73,0.951
630,0.128037,-65.932427,6.83,1.158
633,0.12864,37.185443,7.44,0.478
634,0.12892,-2.548679,6.43,-0.146
635,0.129693,-22.50856,5.93,0.141
648,0.133431,-78.598759,7.18,0.156
651,0.13381,31.391161,7.12,0.184
654,0.134303,-33.529326,5.67,1.119
658,0.135998,31.378998,7.27,0.207
663,0.136693,-2.447711,6.18,1.366
668,0.137879,-14.824492,7.04,0.624
670,0.138204,-8.824112,5.99,1.034
676,0.139791,29.090432,2.07,-0.038
687,0.141237,34.934547,7.41,0.606
693,0.142462,63.20404,6.41,0.998
694,0.142638,-17.578155,6.11,1.664
696,0.144105,-74.238455,7.38,1.326
697,0.14471,36.627125,6.21,0.504
698,0.145309,-2.222583,7.05,0.963
699,0.145546,74.214765,7.44,-0.006
708,0.146874,8.021868,7.43,0.296
712,0.147223,40.494549,6.82,1.568
714,0.147814,25.462985,6.24,0.976
715,0.147845,0.692453,7.31,1.43
718,0.148235,-22.179517,7.13,1.64
722,0.149788,-21.206353,7.21,1.087
726,0.150045,28.247543,6.47,0.242
727,0.150672,18.211963,5.57,1.043
728,0.15066,-54.001931,6.32,0.738
735,0.151014,40.842859,6.93,0.8
738,0.151197,19.924689,7.11,0.476
742,0.152382,-50.166802,7.05,-0.122
744,0.152887,59.14978,2.28,0.38
753,0.154625,65.070892,7.02,0.932
757,0.155401,17.533922,7.07,0.644
758,0.155525,79.714545,6.01,0.203
759,0.155851,-27.987928,5.42,0.414
763,0.156836,-45.747426,3.88,1.013
765,0.157661,46.387872,7.17,0.031
767,0.157788,1.244035,7.27,1.22
783,0.161482,-63.589789,7.4,1.571
796,0.164474,-62.296794,6.34,0.164
801,0.165283,-2.561266,6.84,1.611
803,0.165767,-44.66644,7.19,0.974
811,0.167278,11.145813,5.54,-0.064
812,0.167293,-82.224047,5.29,1.049
816,0.167591,-8.974153,7.1,0.345
828,0.168888,-78.300717,6.97,1.377
836,0.171239,52.255137,7.2,-0.053
838,0.171908,-5.248588,5.84,0.973
839,0.172012,46.072272,5.01,0.405
850,0.1741,28.652881,7.11,1.528
855,0.174909,57.165494,6.74,-0.074
856,0.175667,33.130884,6.83,1.429
858,0.176293,59.673407,6.7,-0.017
863,0.177328,-73.224389,6.66,0.372
871,0.178565,-12.579897,5.84,1.0
879,0.179692,-34.860715,6.89,0.951
898,0.184902,4.133093,7.44,0.998
900,0.18552,57.587941,6.68,1.212
904,0.186013,-3.321389,6.74,1.025
908,0.187739,-15.467977,4.89,0.487
916,0.189464,74.484543,7.15,1.004
924,0.19198,40.398952,7.47,1.532
928,0.192894,-27.799737,5.41,1.346
930,0.193145,-18.600657,6.93,0.994
936,0.193534,-80.173734,7.21,0.916
938,0.193652,58.211829,7.09,0.137
943,0.194149,55.961461,7.47,0.2
948,0.195552,-35.133119,5.24,0.459
949,0.195762,57.27152,7.06,0.63
952,0.196536,9.139962,7.45,0.891
955,0.197344,66.126345,7.32,0.038
963,0.198715,-75.476828,7.49,1.6
964,0.19891,-42.172144,6.53,1.041
965,0.199741,48.152396,6.18,1.467
967,0.200381,23.471749,6.58,0.99
969,0.200403,28.6065,7.19,0.398
971,0.200839,-13.813179,6.56,1.074
978,0.201897,47.491101,7.36,1.082
979,0.202242,53.623888,6.87,0.262
981,0.202773,-17.938278,5.29,1.478
984,0.203865,39.901578,7.43,0.335
1005,0.209341,44.590743,7.44,1.522
1006,0.209356,-88.362869,7.22,0.054
1007,0.209484,44.707195,6.5,1.112
1009,0.209947,44.316313,7.01,1.106
1016,0.211204,-1.227195,7.22,1.051
1021,0.212565,57.22754,7.34,1.639
1024,0.213338,46.095405,6.63,0.402
1028,0.213957,37.693656,6.71,-0.116
1029,0.213975,-57.912609,7.22,0.775
1031,0.215316,-3.381546,7.37,1.619
1041,0.217167,49.926524,7.17,0.202
1044,0.217755,-22.470173,6.66,0.961
1054,0.219307,16.921456,6.52,1.05
1061,0.22019,62.040878,6.63,0.226
1064,0.220502,-37.822873,7.21,1.53
1065,0.220598,15.183596,2.83,-0.19
1067,0.220963,-26.325331,7.44,1.279
1070,0.221754,-20.618703,7.45,0.48
1072,0.222099,-84.993978,5.78,1.71
1073,0.222368,49.723376,7.32,0.061
1074,0.223312,26.987545,6.24,0.68
1084,0.22524,41.03537,5.71,0.331
1091,0.227404,42.94939,7.26,1.257
1094,0.228401,-26.022345,5.94,1.548
1097,0.228994,-26.284959,6.14,1.49
1099,0.229193,-48.684187,6.97,0.18
1100,0.229303,-23.214784,6.86,1.096
1101,0.229362,8.193504,7.41,0.44
1105,0.229882,1.383586,6.79,1.257
1112,0.231397,-56.999679,7.15,0.513
1113,0.232112,-17.545369,7.39,-0.165
1116,0.232275,59.999319,6.91,1.12
1118,0.233675,-3.908824,7.41,0.947
1121,0.233967,33.206039,6.22,0.009
1122,0.234046,76.026999,7.17,1.626
1125,0.234469,-74.912002,6.97,1.341
1131,0.23584,26.258798,7.0,0.534
1132,0.236182,-7.199124,7.32,0.521
1138,0.237419,-55.069662,6.66,0.462
1142,0.238946,-27.53143,7.42,0.64
1144,0.239114,-62.771951,6.63,1.697
1145,0.239112,-21.196962,6.89,0.502
1151,0.240129,-2.197997,7.19,1.34
1156,0.241008,-7.780532,5.13,1.601
1159,0.241118,-14.431785,6.95,0.494
1162,0.242702,41.032642,6.68,1.172
1166,0.243378,20.206702,4.79,1.572
1167,0.24349,1.296839,7.03,0.461
1169,0.244005,-18.932866,4.44,1.64
1174,0.244572,-14.80524,6.63,1.03
1179,0.245635,-46.033415,7.13,1.17
1183,0.246725,-14.177699,6.82,0.257
1189,0.248476,-9.569571,5.77,-0.084
1190,0.248823,-3.027412,6.64,1.499
1191,0.24886,22.284225,6.25,-0.004
1192,0.24898,21.542112,7.06,1.0
1193,0.249515,-34.904223,6.17,1.344
1194,0.249677,8.820962,6.02,0.312
1205,0.251883,33.030459,7.34,1.02
1206,0.25193,31.535725,6.34,1.555
1213,0.252934,27.28344,6.35,-0.002
1223,0.254189,-40.095977,7.5,1.032
1231,0.254953,44.203397,6.76,-0.046
1232,0.255985,28.587169,7.33,0.441
1245,0.259364,50.050304,7.45,1.62
1247,0.26073,5.843847,6.98,1.151
1262,0.264339,-5.601215,7.48,0.949
1266,0.265239,61.000172,6.43,0.838
1267,0.265257,-75.911615,6.49,0.983
1270,0.265917,4.251116,7.13,0.046
1286,0.269126,-31.446394,5.66,1.35
1291,0.26986,-79.851182,6.59,0.749
1293,0.270527,76.950755,6.35,-0.044
1300,0.272645,43.595049,6.12,0.068
1307,0.27344,-70.392369,7.18,0.251
1308,0.273808,53.945641,7.22,1.025
1313,0.275683,-32.760428,7.34,1.201
1316,0.276106,-13.403904,7.15,0.222
1317,0.276122,8.240154,6.12,0.919
1323,0.277617,1.850607,6.98,1.6
1327,0.278235,54.660146,7.43,0.266
1328,0.278352,-32.688435,6.67,1.077
1329,0.278429,-20.210061,6.5,-0.108
1331,0.278619,36.629812,6.99,0.05
1336,0.27935,13.916805,7.46,0.167
1337,0.279355,10.244778,6.51,1.864
1339,0.280064,-78.780154,6.78,0.451
1343,0.281041,46.614272,7.18,1.071
1346,0.281604,-52.651149,6.84,0.655
1348,0.281656,49.461915,6.52,1.775
1350,0.281944,23.256193,6.95,1.06
1351,0.282513,61.533185,5.74,0.898
1363,0.284863,38.681636,4.61,0.059
1369,0.285845,47.947405,5.86,-0.079
1391,0.290152,8.876517,6.66,0.589
1399,0.292417,-19.051092,6.46,0.386
1412,0.295295,51.43309,6.11,-0.151
1418,0.296583,1.688727,6.19,0.937
1421,0.29677,-1.862735,7.1,0.9
1424,0.297216,16.331013,7.21,0.477
1426,0.297567,20.226994,6.91,1.585
1431,0.298007,44.577946,7.38,1.029
1436,0.298974,12.771466,6.54,0.97
1441,0.299685,-13.45564,6.51,0.599
1452,0.302191,3.796763,7.2,0.309
1453,0.302558,46.214313,6.83,1.319
1461,0.304708,-21.13846,6.69,-0.008
1462,0.304791,11.206214,6.07,1.036
1465,0.305118,-36.509884,6.67,1.304
1467,0.305145,-2.014803,7.21,1.311
1470,0.305463,36.785224,4.51,0.054
1471,0.305491,44.558412,7.19,1.608
1473,0.30575,-49.905614,7.27,1.129
1474,0.305767,30.39594,7.08,1.186
1478,0.307238,-63.477494,7.46,0.537
1480,0.307661,76.276527,7.18,-0.052
1483,0.307995,62.202775,6.97,1.52
1484,0.308193,-46.5321,7.47,0.468
1485,0.308498,26.140293,7.27,0.174
1490,0.310625,31.517227,5.88,-0.014
1492,0.31101,22.879729,7.14,0.885
1493,0.311308,44.629988,7.05,0.115
1496,0.311629,-8.053001,6.47,0.674
1498,0.311712,43.791141,6.1,-0.074
1499,0.31182,-43.235571,6.33,1.21
1546,0.321703,73.122577,7.31,1.059
1547,0.321868,59.13904,7.26,0.049
1548,0.322362,-46.499031,7.45,1.535
1559,0.323799,-8.823921,3.56,1.214
1567,0.326359,-50.429427,7.44,1.654
1568,0.326799,-7.224021,7.03,0.508
1571,0.328212,40.729461,6.35,1.179
1575,0.329645,36.962443,7.26,1.304
1583,0.330799,-2.478883,6.96,0.848
1591,0.332299,16.250871,6.6,0.979
1593,0.332768,-25.121947,7.45,1.125
1594,0.333453,38.227397,6.97,0.64
1595,0.334142,-64.874791,4.23,0.576
1596,0.334153,-17.700434,6.73,1.249
1598,0.33474,6.292648,6.81,1.532
1599,0.334769,48.865449,6.53,0.051
1607,0.336264,-13.061462,6.85,1.028
1626,0.340111,30.935614,5.89,-0.098
1634,0.341759,10.91774,7.03,1.039
1635,0.341924,48.968633,6.46,0.564
1638,0.342495,45.508927,7.0,0.563
1640,0.342817,56.556923,6.73,0.817
1641,0.343295,8.190271,5.38,1.343
1643,0.344178,-69.624913,5.5,-0.046
1648,0.345434,61.879595,6.8,2.02
1652,0.345979,26.5137,7.39,1.417
1653,0.345978,32.911186,5.79,1.595
1656,0.346828,-23.630223,6.78,0.311
1663,0.348261,-39.239873,7.14,0.506
1665,0.348368,32.978005,6.9,0.478
1666,0.348498,10.976901,6.57,0.056
1672,0.349847,12.771652,7.2,0.271
1680,0.351189,-2.909599,6.92,1.036
1682,0.352017,37.968603,5.16,0.442
1684,0.352564,35.878828,7.37,0.238
1687,0.353646,-3.311823,7.36,0.529
1690,0.354085,-35.798952,7.14,1.575
1696,0.356163,67.005408,7.23,0.01
1702,0.357986,-77.426873,5.96,1.397
1703,0.358583,-65.751663,7.26,1.249
1704,0.358665,-28.981469,5.18,1.006
1710,0.35928,-66.304575,7.36,0.006
1711,0.359748,38.18712,6.86,1.094
1721,0.361786,67.823015,6.55,0.981
1724,0.362853,-20.058024,5.61,1.58
1728,0.364577,-23.007979,7.4,0.631
1751,0.370622,-5.191936,7.11,0.146
1756,0.371472,37.761209,7.5,0.979
1762,0.372572,-50.992487,6.68,1.102
1765,0.373227,35.536349,7.02,1.61
1768,0.373745,13.482488,6.25,1.225
1773,0.376146,-61.034853,7.3,0.035
1790,0.379942,54.645437,7.16,0.874
1791,0.380006,-39.262414,6.75,0.371
1795,0.38052,29.45428,6.95,0.212
1799,0.381051,-12.209438,6.39,0.659
1800,0.381076,-37.403411,7.03,1.588
1805,0.382602,38.754287,6.69,1.556
1808,0.383337,-6.463015,7.49,1.227
1814,0.38421,44.52524,7.31,0.087
1817,0.384554,-15.942556,6.43,1.595
1826,0.386835,-31.035775,6.55,-0.06
1845,0.389484,-29.847251,6.81,1.56
1850,0.390282,-18.89162,7.11,0.993
1888,0.398125,60.961413,6.57,0.38
1895,0.39988,-17.810366,7.42,0.51
1896,0.399952,-3.475294,7.35,0.134
1900,0.401463,44.264734,6.66,0.413
1916,0.404348,52.019914,5.58,-0.11
1934,0.408236,-2.219064,6.08,1.216
1943,0.410599,14.315514,6.48,1.161
1947,0.411021,31.373055,6.76,-0.058
1949,0.411795,-53.983998,7.27,0.681
1950,0.412397,-51.043867,6.81,0.596
1955,0.413193,61.831057,5.38,0.008
1957,0.413787,-18.471878,6.9,1.426
1977,0.418445,53.046786,5.72,-0.056
1991,0.421593,35.037243,7.37,1.573
1996,0.422806,-39.26037,6.91,0.95
1998,0.423054,-17.427668,7.06,1.427
2000,0.423391,1.939692,5.77,0.855
2016,0.427916,-77.254247,2.82,0.618
2019,0.428264,54.994205,6.78,1.676
2020,0.428309,7.691122,6.77,1.3
2027,0.429336,-27.71019,6.88,1.293
2031,0.4309,71.807126,6.91,-0.023
2032,0.431185,65.383533,7.45,0.261
2033,0.431279,-8.351456,7.41,1.152
2045,0.432956,21.024259,7.5,0.929
2053,0.434356,20.146851,6.67,-0.036
2058,0.435101,55.49093,7.12,1.201
2068,0.436687,56.779229,6.71,0.879
2069,0.436716,-43.679829,3.93,0.175
2071,0.437057,-39.649383,7.11,0.997
2075,0.437915,3.825757,6.9,-0.128
2076,0.438056,-42.305981,2.4,1.083
2081,0.439375,-18.693632,6.24,1.622
2082,0.439392,49.048991,6.94,1.294
2095,0.443726,-0.049533,6.16,0.893
2096,0.444294,56.641207,6.58,0.021
2101,0.444985,-69.30711,6.98,1.378
2130,0.451269,25.042067,6.66,0.487
2132,0.451509,-5.003805,7.05,1.119
2135,0.451924,-9.873035,7.29,0.931
2137,0.452034,80.052141,6.53,-0.083
2139,0.452168,31.177142,7.35,1.689
2146,0.453458,49.985725,6.95,-0.014
2147,0.453488,25.578516,7.49,1.19
2153,0.454085,-25.54717,5.99,1.022
2161,0.455628,2.814109,7.18,0.894
2164,0.456152,-28.24317,7.01,0.967
2173,0.45863,16.025483,6.44,0.23
2179,0.460437,-20.134524,6.78,0.261
2184,0.461225,-16.409443,7.2,0.498
2185,0.461254,58.553911,7.47,0.043
2204,0.465472,-33.007167,4.86,1.634
2207,0.466241,19.514039,6.4,0.99
2209,0.466819,-11.658802,7.35,1.205
2213,0.467475,17.893125,5.01,1.584
2216,0.469529,20.795955,7.48,1.585
2218,0.470195,16.445065,6.05,1.58
2220,0.470454,44.394452,5.18,0.043
2221,0.470589,-29.040271,6.75,1.127
2229,0.472236,10.189848,6.05,0.447
2231,0.472528,-20.335051,6.44,0.594
2233,0.474011,-29.284755,7.1,0.5
2234,0.474027,-39.915002,5.42,1.556
2235,0.474368,33.798924,7.13,1.018
2237,0.474604,32.437745,6.87,0.106
2240,0.475892,-11.237244,6.86,0.535
2243,0.47692,33.634041,7.47,1.47
2250,0.478632,-50.532859,6.26,1.09
2257,0.480764,-24.636676,7.14,0.318
2261,0.481733,57.209723,7.3,0.894
2264,0.482406,36.899694,6.28,0.916
2265,0.4825,48.41371,7.04,1.617
2277,0.486235,-11.598064,7.35,1.616
2294,0.489131,28.827785,7.34,1.474
2297,0.48976,-40.665431,6.82,1.273
2306,0.491488,-3.469277,6.95,1.307
2309,0.492238,10.38722,7.29,1.183
2314,0.49336,62.064152,7.0,1.06
2317,0.494185,-2.840424,6.89,1.457
2324,0.496945,-32.115982,6.59,1.351
2330,0.497686,38.324144,7.47,0.544
2331,0.497748,-14.864109,6.15,0.388
2337,0.498704,-1.117748,7.46,0.353
2347,0.500655,-3.957332,5.72,1.545
2349,0.502045,29.751557,5.2,0.271
2352,0.502413,4.860111,6.52,0.453
2365,0.504545,64.748976,7.27,0.007
2368,0.505088,15.795372,7.4,1.282
2371,0.505534,59.977554,5.94,-0.003
2375,0.506293,-23.78768,5.17,0.128
2377,0.507242,-48.21491,5.67,0.367
2382,0.507729,-40.939586,6.18,0.315
2386,0.508139,-39.518547,6.6,1.141
2402,0.511313,-9.407754,7.43,1.567
2403,0.511561,62.354003,7.39,-0.013
2409,0.513098,16.037612,6.83,0.126
2416,0.51511,77.019404,6.18,0.883
2425,0.516637,-10.0847,6.86,0.2
2431,0.517367,50.254026,7.37,0.873
2434,0.517758,55.702615,6.57,1.154
2447,0.520162,69.78526,7.37,0.504
2448,0.520252,43.946539,6.76,-0.064
2466,0.523594,-48.803514,4.76,0.018
2467,0.523635,38.980587,7.32,0.11
2468,0.52367,66.519617,6.18,-0.1
2469,0.523787,33.581642,5.88,1.133
2473,0.525083,11.532215,7.18,0.275
2474,0.52521,20.829507,7.17,1.352
2475,0.52537,21.110249,7.48,1.606
2478,0.525725,-62.958218,4.36,-0.064
2479,0.525946,-62.965561,4.53,0.147
2484,0.526691,16.020918,6.89,1.267
2485,0.527042,9.161201,6.99,1.405
2490,0.527986,-1.793667,7.07,0.071
2491,0.528105,52.839526,5.59,1.163
2492,0.528185,12.913503,7.25,0.906
2496,0.528727,19.482031,7.44,0.955
2499,0.529539,54.522289,4.74,-0.098
2501,0.529817,45.926296,7.48,1.104
2506,0.530859,18.105333,7.22,0.535
2511,0.531912,19.642965,6.87,1.638
2521,0.534637,-18.221993,7.07,1.245
2531,0.536494,53.815104,6.94,1.522
2533,0.537236,34.993886,6.74,0.191
2537,0.539385,58.338575,7.1,0.377
2539,0.539491,-24.646231,7.32,0.391
2543,0.539939,6.955463,5.69,-0.014
2546,0.540777,43.494794,6.69,-0.006
2551,0.541668,51.728256,6.94,1.101
2554,0.542199,18.794882,6.79,1.54
2559,0.542935,27.580759,6.68,0.084
2562,0.543189,20.294316,5.38,1.069
2566,0.544274,-25.359714,6.72,1.176
2567,0.544317,23.193427,6.84,0.921
2569,0.545334,38.843771,6.9,0.364
2572,0.545512,-63.0315,5.07,0.038
2575,0.546528,54.119948,6.91,1.249
2577,0.546969,28.280241,6.26,0.965
2589,0.548839,16.167235,6.9,0.508
2592,0.549997,62.931783,4.17,0.13
2605,0.552879,54.894985,5.93,1.037
2606,0.553134,-3.847856,7.36,1.301
2609,0.55329,-46.951798,7.47,0.285
2622,0.55534,70.981843,6.41,-0.007
2623,0.556463,-71.266246,6.11,0.265
2635,0.558094,-0.608808,7.18,0.338
2636,0.558252,-55.328323,7.21,0.0
2639,0.559004,-38.113396,7.27,0.609
2643,0.560095,-26.091818,7.29,1.462
2655,0.561401,-29.558278,5.55,1.262
2657,0.56217,-35.002078,6.41,0.617
2659,0.563336,-39.924596,7.42,-0.016
2662,0.563591,43.666645,7.5,1.614
2671,0.565064,3.319865,7.47,0.94
2689,0.569665,10.2992,6.76,0.949
2695,0.572073,-42.431239,6.88,0.18
2701,0.573583,66.750351,6.47,-0.049
2702,0.573652,-45.42583,6.8,1.293
2704,0.574214,-6.503906,6.9,0.481
2705,0.574374,-52.37309,5.57,0.472
2706,0.574888,47.915542,7.38,0.549
2707,0.574944,-4.546538,7.02,0.732
2713,0.577063,67.516467,7.36,0.183
2717,0.577894,-37.996007,7.42,1.132
2728,0.582046,13.371137,6.39,1.136
2747,0.586005,36.832233,6.58,1.445
2750,0.586477,62.989381,7.26,0.566
2754,0.587154,51.838221,7.37,0.602
2756,0.587466,-3.592846,5.2,0.567
2776,0.591416,54.2035,6.95,0.097
2781,0.592454,-0.50561,5.94,0.444
2783,0.592591,-54.821873,6.04,1.001
2784,0.592843,-39.746292,7.45,0.726
2789,0.593135,53.488911,7.27,0.064
2790,0.593659,67.92596,6.92,2.04
2796,0.594767,-48.000907,5.51,0.461
2808,0.596859,49.02114,6.89,0.615
2809,0.597255,16.569475,7.32,0.435
2826,0.598557,13.207067,6.32,0.517
2835,0.600235,-59.71724,6.91,0.368
2837,0.600515,-5.570721,6.72,0.466
2840,0.600877,-14.973035,6.45,1.063
2845,0.601848,38.25197,7.08,1.641
2846,0.601906,-22.842333,6.06,0.297
2848,0.602306,54.16845,5.08,-0.098
2850,0.602724,24.02543,7.23,1.092
2859,0.605583,27.254763,6.51,-0.07
2860,0.605621,44.638892,7.31,-0.058
2870,0.607595,60.326215,5.78,0.294
2882,0.610449,-65.124445,6.43,1.26
2883,0.610516,-49.132323,6.79,0.639
2894,0.612903,44.488587,5.14,1.587
2895,0.612924,54.957369,6.77,1.419
2897,0.613142,15.231725,5.89,-0.146
2901,0.613795,-76.30958,6.72,0.394
2906,0.61468,33.719344,4.34,-0.123
2914,0.616188,53.896909,3.69,-0.196
2916,0.617102,55.217229,7.43,1.266
2920,0.618664,24.014136,6.18,1.17
2929,0.621206,58.016213,7.39,-0.004
2930,0.621617,11.436575,7.04,0.325
2931,0.621727,-54.393819,6.4,0.995
2935,0.622393,-24.767267,5.57,0.715
2936,0.622561,35.399501,5.45,0.886
2938,0.6229,-37.28808,6.99,0.723
2942,0.624001,40.332378,6.85,0.021
2947,0.625136,3.135351,6.43,1.339
2959,0.627982,21.09973,6.84,1.101
2962,0.629358,72.894853,6.96,-0.005
2988,0.634595,-0.503529,6.64,1.301
2991,0.635097,-41.592245,7.23,0.667
2995,0.635626,-66.042812,7.37,0.611
3001,0.637417,84.674977,7.11,0.554
3004,0.638326,-73.962762,7.43,0.482
3014,0.640937,-45.901309,7.41,0.496
3019,0.642179,-20.296578,6.73,-0.129
3024,0.642623,60.324782,6.77,1.725
3025,0.642602,29.311751,4.34,0.871
3029,0.643367,-23.599234,7.11,0.423
3036,0.644624,-73.137618,6.87,0.114
3039,0.644879,46.956799,6.72,0.96
3050,0.646883,-25.107819,6.43,1.482
3052,0.647017,59.826151,6.72,-0.019
3064,0.649308,26.323756,6.92,1.383
3077,0.652748,49.354589,5.45,1.644
3078,0.653133,-57.967861,6.81,0.471
3080,0.653684,3.133923,7.34,0.633
3086,0.655462,30.861024,3.27,1.268
3087,0.656063,21.250472,5.88,0.85
3108,0.660625,-85.700874,6.81,1.26
3113,0.661306,11.532281,7.43,0.538
3116,0.662114,-11.150781,6.83,0.432
3126,0.663247,82.493762,6.38,0.551
3130,0.664428,-44.796293,6.0,1.142
3132,0.665436,21.438495,5.36,1.16
3136,0.666051,-33.961449,6.68,0.519
3139,0.666521,76.871135,6.73,1.199
3158,0.672167,24.053897,7.21,0.19
3159,0.672229,59.464224,7.04,1.122
3162,0.673448,-7.656663,7.43,0.571
3163,0.673659,-59.454604,5.89,0.564
3164,0.673557,59.513807,7.26,1.92
3165,0.673787,70.708233,7.3,0.026
3168,0.674606,-16.516676,6.49,0.91
3171,0.675075,-55.511476,7.49,1.38
3172,0.675116,56.537331,2.24,1.17
3178,0.675771,-23.804876,6.14,0.718
3181,0.675927,-29.420859,6.75,0.996
3186,0.678437,-4.351841,5.9,1.091
3196,0.679856,-7.232606,7.02,0.62
3198,0.680335,40.187173,7.36,0.937
3203,0.680981,-53.209917,7.37,0.539
3218,0.683116,21.020451,7.05,1.05
3221,0.684837,57.171574,7.44,0.122
3224,0.68533,39.458664,5.3,0.891
3229,0.686632,9.355058,6.52,0.528
3233,0.686867,52.197666,6.74,0.072
3238,0.688766,-46.085007,4.59,0.953
3259,0.692908,-25.196563,6.55,1.244
